1,62,0.87
1,12,0.6
1,65,0.7
1,43,0.66
1,88,0.83
2,88,0.93
2,64,0.78
2,93,0.88
2,85,0.82
2,58,0.72
3,4,0.79
3,19,0.77
3,67,0.75
3,5,0.77
3,55,0.84
4,78,0.81
4,34,0.83
4,11,0.78
4,32,0.85
4,46,0.86
5,62,1.0
5,54,0.98
5,4,0.8
5,69,0.9
5,55,0.86
6,65,0.83
6,61,0.88
6,80,0.89
6,85,0.9
6,38,0.77
7,81,0.93
7,82,0.87
7,13,0.79
7,88,0.99
7,69,0.9
8,92,0.89
8,98,0.76
8,2,0.88
8,71,0.9
8,66,0.78
9,99,0.8
9,92,0.9
9,40,0.79
9,13,0.81
9,55,0.85
10,70,0.89
10,90,0.79
10,87,1.0
10,86,0.98
10,76,0.9
11,24,0.85
11,31,0.79
11,8,0.9
11,34,0.87
11,25,0.81
12,19,0.82
12,31,0.78
12,89,0.99
12,33,0.84
12,35,0.76
13,92,0.92
13,59,0.81
13,9,0.81
13,12,0.72
13,56,0.87
14,82,0.9
14,71,0.91
14,20,0.82
14,50,0.87
14,12,0.7
15,73,0.99
15,97,0.78
15,0,0.88
15,75,0.91
15,94,0.98
16,0,0.89
16,31,0.78
16,13,0.85
16,54,0.98
16,98,0.81
17,45,0.87
17,71,0.93
17,40,0.83
17,78,0.82
17,98,0.8
18,50,0.88
18,90,0.81
18,23,0.83
18,89,1.0
18,13,0.87
19,2,0.88
19,14,0.82
19,50,0.89
19,52,0.93
19,21,0.76
20,96,0.84
20,73,0.99
20,1,0.91
20,54,0.99
20,78,0.81
21,75,0.96
21,9,0.84
21,65,0.88
21,68,0.91
21,74,0.87
22,50,0.89
22,72,0.91
22,74,0.87
22,35,0.79
22,55,0.96
23,51,0.93
23,82,0.92
23,10,0.86
23,63,0.94
23,53,0.96
24,26,0.89
24,98,0.82
24,3,0.84
24,55,0.96
24,39,0.84
25,41,0.87
25,58,0.84
25,25,0.82
25,54,0.99
25,86,0.98
26,20,0.85
26,24,0.88
26,6,0.83
26,96,0.88
26,1,0.91
27,84,0.93
27,24,0.89
27,86,0.98
27,18,0.85
27,13,0.84
28,56,0.87
28,65,0.89
28,32,0.89
28,24,0.87
28,27,0.87
29,20,0.86
29,62,1.0
29,67,0.84
29,0,0.93
29,66,0.87
30,56,0.9
30,36,0.88
30,11,0.88
30,34,0.92
30,23,0.84
31,75,0.94
31,67,0.84
31,8,0.91
31,11,0.84
31,57,0.95
32,4,0.83
32,27,0.87
32,56,0.89
32,53,0.96
32,68,0.92
33,51,0.93
33,38,0.78
33,62,1.0
33,59,0.85
33,99,0.87
34,58,0.88
34,71,0.94
34,18,0.88
34,53,0.97
34,8,0.94
35,55,0.96
35,53,0.96
35,49,0.87
35,63,0.94
35,56,0.84
36,85,0.92
36,73,0.97
36,7,0.9
36,20,0.85
36,54,0.99
37,94,0.96
37,83,0.95
37,15,0.87
37,99,0.86
37,29,0.88
38,17,0.84
38,50,0.9
38,62,1.0
38,88,1.0
38,54,0.98
39,10,0.87
39,30,0.94
39,47,0.9
39,35,0.86
39,78,0.81
40,50,0.89
40,70,0.97
40,88,1.0
40,33,0.91
40,21,0.8
41,15,0.87
41,11,0.85
41,47,0.89
41,60,0.87
41,17,0.84
42,97,0.78
42,55,0.99
42,40,0.88
42,52,0.94
42,2,0.89
43,67,0.86
43,16,0.91
43,68,0.94
43,90,0.86
43,43,0.84
44,55,0.99
44,51,0.95
44,80,0.91
44,48,0.83
44,45,0.92
45,29,0.88
45,73,0.98
45,9,0.87
45,86,0.99
45,52,0.93
46,12,0.77
46,71,0.97
46,72,0.91
46,77,0.96
46,2,0.91
47,39,0.86
47,20,0.88
47,96,0.91
47,15,0.87
47,9,0.85
48,59,0.89
48,73,0.97
48,90,0.86
48,72,0.91
48,3,0.86
49,1,0.95
49,12,0.75
49,92,0.96
49,32,0.88
49,73,0.98
50,14,0.86
50,2,0.92
50,15,0.87
50,66,0.88
50,59,0.89
