0, 0.085 
1, 0.674 
2, 0.743 
3, 0.791 
4, 0.814 
5, 0.821 
6, 0.831 
7, 0.831 
8, 0.843 
9, 0.845 
10, 0.844 
11, 0.851 
12, 0.851 
13, 0.857 
14, 0.856 
15, 0.865 
16, 0.863 
17, 0.868 
18, 0.866 
19, 0.87 
20, 0.868 
