1,32,0.63
1,7,0.59
1,23,0.63
1,94,0.77
1,52,0.71
2,22,0.79
2,80,0.81
2,64,0.9
2,5,0.75
2,95,0.82
3,43,0.82
3,53,0.95
3,92,0.81
3,98,0.77
3,9,0.77
4,59,0.76
4,13,0.81
4,93,0.96
4,38,0.78
4,72,0.87
5,21,0.73
5,70,0.93
5,32,0.82
5,88,1.0
5,8,0.9
6,72,0.89
6,31,0.75
6,39,0.78
6,27,0.87
6,95,0.88
7,74,0.81
7,46,0.88
7,37,0.74
7,0,0.85
7,81,0.91
8,73,0.98
8,17,0.82
8,36,0.86
8,5,0.79
8,14,0.84
9,52,0.89
9,62,1.0
9,77,0.95
9,46,0.89
9,14,0.82
10,90,0.78
10,39,0.8
10,34,0.83
10,46,0.86
10,85,0.92
11,7,0.85
11,54,0.99
11,31,0.79
11,26,0.84
11,0,0.9
12,82,0.89
12,97,0.77
12,22,0.88
12,29,0.81
12,81,0.93
13,28,0.88
13,1,0.9
13,41,0.83
13,9,0.83
13,31,0.79
14,45,0.87
14,54,0.99
14,19,0.83
14,84,0.92
14,73,0.98
15,63,0.92
15,23,0.83
15,28,0.9
15,84,0.92
15,41,0.83
16,91,0.95
16,58,0.87
16,67,0.79
16,68,0.9
16,98,0.8
17,6,0.81
17,48,0.76
17,10,0.86
17,19,0.78
17,22,0.85
18,77,0.93
18,17,0.82
18,49,0.83
18,83,0.91
18,55,0.96
19,14,0.84
19,32,0.9
19,58,0.83
19,39,0.84
19,74,0.86
20,44,0.84
20,17,0.83
20,88,1.0
20,62,1.0
20,72,0.88
21,8,0.91
21,3,0.83
21,12,0.73
21,83,0.93
21,99,0.83
22,74,0.86
22,72,0.87
22,96,0.84
22,66,0.82
22,8,0.93
23,48,0.82
23,41,0.85
23,82,0.9
23,94,0.96
23,9,0.85
24,55,0.96
24,29,0.85
24,8,0.92
24,71,0.93
24,15,0.83
25,60,0.85
25,76,0.95
25,2,0.88
25,97,0.8
25,72,0.92
26,42,0.8
26,29,0.88
26,73,0.97
26,72,0.89
26,68,0.91
27,99,0.86
27,92,0.97
27,35,0.8
27,50,0.9
27,91,0.94
28,71,0.91
28,26,0.89
28,53,0.96
28,99,0.81
28,10,0.89
29,47,0.89
29,70,0.98
29,4,0.86
29,72,0.91
29,14,0.84
30,87,1.0
30,38,0.77
30,96,0.88
30,3,0.84
30,71,0.92
31,37,0.8
31,69,0.93
31,79,0.93
31,53,0.97
31,35,0.83
32,94,0.94
32,10,0.89
32,38,0.78
32,84,0.93
32,69,0.92
33,45,0.89
33,16,0.88
33,6,0.84
33,1,0.95
33,10,0.88
34,53,0.97
34,15,0.86
34,83,0.94
34,73,0.97
34,65,0.89
35,86,0.98
35,4,0.86
35,38,0.77
35,59,0.84
35,42,0.83
36,18,0.87
36,5,0.78
36,29,0.88
36,79,0.91
36,56,0.89
37,7,0.89
37,39,0.84
37,10,0.89
37,23,0.84
37,14,0.85
38,20,0.88
38,38,0.77
38,9,0.85
38,77,0.95
38,5,0.77
39,84,0.92
39,66,0.89
39,88,1.0
39,7,0.9
39,99,0.88
40,17,0.84
40,58,0.91
40,40,0.88
40,84,0.94
40,74,0.89
41,17,0.84
41,24,0.89
41,37,0.82
41,20,0.86
41,15,0.87
42,90,0.84
42,35,0.86
42,15,0.87
42,3,0.85
42,86,0.99
43,35,0.81
43,20,0.86
43,69,0.93
43,34,0.92
43,23,0.88
44,30,0.95
44,86,0.99
44,89,1.0
44,1,0.95
44,38,0.76
45,20,0.86
45,59,0.9
45,49,0.86
45,92,0.95
45,87,1.0
46,61,0.9
46,28,0.9
46,66,0.87
46,14,0.85
46,3,0.85
47,94,0.94
47,62,1.0
47,98,0.83
47,58,0.89
47,21,0.8
48,95,0.91
48,81,0.96
48,93,0.99
48,88,1.0
48,92,0.95
49,61,0.91
49,62,1.0
49,40,0.85
49,30,0.95
49,17,0.84
50,21,0.81
50,88,1.0
50,82,0.95
50,76,0.94
50,18,0.88
