1,0.63,0.59,0.63,0.77,0.71,100,100,100,100,100
2,0.79,0.81,0.9,0.75,0.82,100,100,100,100,100
3,0.82,0.95,0.81,0.77,0.77,100,100,100,100,100
4,0.76,0.81,0.96,0.78,0.87,100,100,100,100,100
5,0.73,0.93,0.82,1.0,0.9,100,100,100,100,100
6,0.89,0.75,0.78,0.87,0.88,100,100,100,100,100
7,0.81,0.88,0.74,0.85,0.91,100,100,100,100,100
8,0.98,0.82,0.86,0.79,0.84,100,100,100,100,100
9,0.89,1.0,0.95,0.89,0.82,100,100,100,100,100
10,0.78,0.8,0.83,0.86,0.92,100,100,100,100,100
11,0.85,0.99,0.79,0.84,0.9,100,100,100,100,100
12,0.89,0.77,0.88,0.81,0.93,100,100,100,100,100
13,0.88,0.9,0.83,0.83,0.79,100,100,100,100,100
14,0.87,0.99,0.83,0.92,0.98,100,100,100,100,100
15,0.92,0.83,0.9,0.92,0.83,100,100,100,100,100
16,0.95,0.87,0.79,0.9,0.8,100,100,100,100,100
17,0.81,0.76,0.86,0.78,0.85,100,100,100,100,100
18,0.93,0.82,0.83,0.91,0.96,100,100,100,100,100
19,0.84,0.9,0.83,0.84,0.86,100,100,100,100,100
20,0.84,0.83,1.0,1.0,0.88,100,100,100,100,100
21,0.91,0.83,0.73,0.93,0.83,100,100,100,100,100
22,0.86,0.87,0.84,0.82,0.93,100,100,100,100,100
23,0.82,0.85,0.9,0.96,0.85,100,100,100,100,100
24,0.96,0.85,0.92,0.93,0.83,100,100,100,100,100
25,0.85,0.95,0.88,0.8,0.92,100,100,100,100,100
26,0.8,0.88,0.97,0.89,0.91,100,100,100,100,100
27,0.86,0.97,0.8,0.9,0.94,100,100,100,100,100
28,0.91,0.89,0.96,0.81,0.89,100,100,100,100,100
29,0.89,0.98,0.86,0.91,0.84,100,100,100,100,100
30,1.0,0.77,0.88,0.84,0.92,100,100,100,100,100
31,0.8,0.93,0.93,0.97,0.83,100,100,100,100,100
32,0.94,0.89,0.78,0.93,0.92,100,100,100,100,100
33,0.89,0.88,0.84,0.95,0.88,100,100,100,100,100
34,0.97,0.86,0.94,0.97,0.89,100,100,100,100,100
35,0.98,0.86,0.77,0.84,0.83,100,100,100,100,100
36,0.87,0.78,0.88,0.91,0.89,100,100,100,100,100
37,0.89,0.84,0.89,0.84,0.85,100,100,100,100,100
38,0.88,0.77,0.85,0.95,0.77,100,100,100,100,100
39,0.92,0.89,1.0,0.9,0.88,100,100,100,100,100
40,0.84,0.91,0.88,0.94,0.89,100,100,100,100,100
41,0.84,0.89,0.82,0.86,0.87,100,100,100,100,100
42,0.84,0.86,0.87,0.85,0.99,100,100,100,100,100
43,0.81,0.86,0.93,0.92,0.88,100,100,100,100,100
44,0.95,0.99,1.0,0.95,0.76,100,100,100,100,100
45,0.86,0.9,0.86,0.95,1.0,100,100,100,100,100
46,0.9,0.9,0.87,0.85,0.85,100,100,100,100,100
47,0.94,1.0,0.83,0.89,0.8,100,100,100,100,100
48,0.91,0.96,0.99,1.0,0.95,100,100,100,100,100
49,0.91,1.0,0.85,0.95,0.84,100,100,100,100,100
50,0.81,1.0,0.95,0.94,0.88,100,100,100,100,100
